start_ms, end_ms, text
176909, 206070, ---つづいて、ふたつ目の記事なのだ！「AIエイジェントにAI最新情報まとめ資料を作ってもらう会【ランググラフ&ラングスミス】」というタイトルなのだ！この記事わ、AIエージェントっていうAIさんが、自分で最新のAI情報を集めて、さらに、自動でプレゼン資料まで作っちゃうっていう、夢みたいな話の概念実証について紹介してるのだ！
206070, 225139, ぼくも毎日資料作りに苦戦してるから、これはぜひ試してみたいのだー！資料を作る流れわ、こんな感じなのだ！まず、「Tavily」っていうウェブ検索APIを使って、AIの最新情報を集めてくるのだ。
225139, 231622, 次に、集めた情報をもとに、スライドの骨子や目次を作ってくれるのだ。
231622, 254479, そして「マープ」っていうスライド作成ツールを使って、ちゃんとしたスライドの本文を作っちゃうのだ！さらにすごいのが、作ったスライドの品質をAIが自分で評価して、もし「あんまりよくないなー」ってなったら、もう一度、目次から作り直しを指示するっていう仕組みもあるのだ！
254479, 273933, これって、まるで人間が自分で資料を修正するみたいで、驚きなのだ！このピーオーシーで使われてる「ラングチェイン」とか「ランググラフ」「ラングスミス」っていうツールが、このAIエージェント開発の強い味方になってるのだ！
273933, 298667, 特に「ランググラフ」わ、AIエージェントの複雑な処理の流れを、わかりやすく「グラフ」の形で設計できるし、「ラングスミス」わ、AIエージェントがどう動いたか、何がうまくいかなかったかとかを全部「見える化」してくれるから、開発がとっても楽になるのだ！
298667, 313107, ぼくもずんだ餅のプレゼン資料、自動で作ってもらって、ずんだ餅の魅力を世界に発信するのだー！---みっつ目の記事なのだ！「エイジェント ミドルウェア」というタイトルなのだ！
313107, 330012, この記事わ、ラングチェインっていうAIエージェント開発のフレームワークが、バージョン1.0で「エイジェント ミドルウェア（エージェントミドルウェア）」っていう新しい仕組みを導入したっていうお話なのだ！
330012, 339961, これまでのAIエージェントって、AIモデルと、プロンプト、それから使うツールを組み合わせたシンプルな仕組みだったのだ。
339961, 358338, でも、もっと複雑なタスクをやらせようとすると、AIモデルに入力する情報、これを「コンテキスト」って呼ぶんだけど、この調整が難しかったり、エージェントの動きが不安定になっちゃったりすることがあったらしいのだ。
358338, 367018, だから、開発者さんたちわ、自分でコードを書いて、エージェントをカスタマイズすることが多かったんだって。
367018, 389459, そこで、ラングチェインさんわ、ウェブサーバーで使われてる「ミドルウェア」っていう考え方をAIエージェントに取り入れたのだ！これで、エージェントがAIモデルを呼び出す前とか後とか、ツールの実行の途中とかに、開発者さんが自由に自分の処理を挟めるようになるのだ！
389459, 404849, 具体的にわ、モデルを呼び出す直前に処理を実行したり、モデルが結果を返した直後に処理を実行したり、モデルに送るリクエストの内容を、その時だけ変更したりできるようになったのだ！
404849, 425113, たとえば、会話履歴が長くなりすぎたら、自動で要約する機能とか、大事なツールを使う前に、人間に確認してもらう「ヒューマン-in-ザ-ループ」っていう機能を、簡単にエージェントに組み込めるようになるのだ！
425113, 438999, これで、もっと信頼できて、柔軟なAIエージェントを作れるようになるって、すごいのだ！ぼくもミドルウェアを使って、もっと賢いずんだアローを発射できるようにしたいのだ！
438999, 458944, ---きょー最後の記事なのだ！「ゲームを作っていて、先手か後手かをランダムに決定するようにしたら、なぜか何度試しても後手に…1時間ほど調べてみて分かったが、単に10回連続後手を引いただけだった「ランダムって難しい」」というタイトルなのだ！
458944, 474216, この記事、すごく面白いのだー！ゲーム開発で、先手か後手かをランダムに決めるようにプログラムを組んだら、なぜか10回も連続で後手になっちゃったっていう、ちょっと笑えるエピソードなのだ。
474216, 499750, そして、その原因を一生懸命調べてみたら、なんと、本当にたまたま10回連続で後手を引いただけだったっていうお話なのだ！「ランダム」って聞くと、すごくバラバラに動くイメージがあるけど、実はプログラムで生成される「乱数」って、「擬似乱数」って言って、完全なランダムじゃないのだ。
499750, 515246, 統計的にわ偏りがないはずなんだけど、短い回数だけ試すと、たまたま同じ結果が連続しちゃうこともあるのだ！この話から学ぶのが、「人間が感じるランダム」の難しさなのだ。
515246, 525484, プログラム上わランダムでも、ユーザーさんが「なんかこれ、偏ってるんじゃないの？」って感じちゃうと、面白くないのだ。
525484, 544405, だから、ゲームとかだと、あえて偏りを調整して、人間が「これわランダムだな！」って感じるように工夫することが大事なんだって！ぼくもずんだ餅を食べる時、ランダムに食べる場所を決めるけど、いつも同じ場所から食べちゃうのだ。
544405, 581587, 人間が感じるランダムって、たしかに難しいのだ！でも、それがまた奥深いところなのだね！はい、きょー紹介した記事わ、ぜんぶで4つなのだ！セイフティーキットさんがオープンエーアイさんの最新AIでオンラインの安全を守ってる話、AIエージェントが自動でプレゼン資料を作る話、ラングチェインのエイジェント ミドルウェアでAIエージェント開発がもっと便利になる話、そしてゲームのランダム設定で10回連続後手になっちゃった面白い話だったのだ！
581587, 599632, あっという間に、お別れの時間なのだ！きょーも「株式会社ずんだもん技術室AI放送局」をお聞きいただいて、ありがとなのだ！番組の感想わ、「#ずんだもんAI放送局」でツイートして教えて欲しいのだ！
599632, 607310, それじゃあ、また次回も、ぼくと一緒にAIの世界を探検するのだー！バイバイなのだー！
